products-list__link href,exclusive-new,brand,price,original_price,discount_percent,rating,discounted_price,original_price.1,discount_percent.1,offer_price,material_type,delivery_time_estimate,product_category,delivery_speed_category
https://www.example.com/product/1455,Bestseller,DenimCraft,₹3341,₹5356,37%,3.2,3235,5356,37%,3293,Polyester,1-2 weeks,Ethnicwear,Fast
https://www.example.com/product/1045,BESTSELLER,NeoThreads,₹3579,₹5381,33%,3.3,3519,5381,33%,3497,Silk,2-3 days,T-Shirts,Fast
https://www.example.com/product/1203,TRENDING,TruStep,₹4675,₹6683,30%,2.9,4601,6683,30%,4625,Denim,2-3 days,Sportswear,Slow
https://www.example.com/product/1147,NEW,ZyraWear,₹1110,₹3301,66%,3.1,1053,3301,66%,1061,Leather,2-3 days,Handbags,Fast
https://www.example.com/product/1209,BESTSELLER,VogueLift,₹434,₹1687,74%,2.4,364,1687,74%,359,Leather,5-7 days,Handbags,Fast
https://www.example.com/product/1396,Limited Edition,TruStep,₹3338,₹3573,6%,4.2,3164,3573,6%,3267,Synthetic,2-3 days,Shirts,Moderate
https://www.example.com/product/1127,Limited Edition,Luxora,₹4572,₹5055,9%,4.3,4398,5055,9%,4505,Linen,4-5 days,Dresses,Fast
https://www.example.com/product/1027,TRENDING,NeoThreads,₹2647,₹5501,51%,1.2,2596,5501,51%,2589,Nylon,2-3 days,Footwear,Slow
https://www.example.com/product/1294,NEW,NeoThreads,₹1928,₹3267,40%,1.6,1779,3267,40%,1847,Linen,1-2 weeks,Jackets,Slow
https://www.ajio.com/tior-girls-floral-a-line-dress/p/701819644_white?,Bestseller,Tior,₹460,₹1999,77%,1.8,2154,2659,79% Off,3187,Synthetic,2-3 days,Footwear,Moderate
https://www.example.com/product/1076,TRENDING,AeroStyle,₹3552,₹4941,28%,4.6,3374,4941,28%,3481,Leather,4-5 days,Jackets,Moderate
https://www.example.com/product/1233,TRENDING,ZyraWear,₹4267,₹5075,15%,3.3,4134,5075,15%,4242,Cotton,1-2 weeks,Jackets,Slow
https://www.example.com/product/1323,NEW,UrbanEdge,₹611,₹2949,79%,3.0,474,2949,79%,533,Nylon,5-7 days,Jeans,Moderate
https://www.example.com/product/1164,Limited Edition,TruStep,₹385,₹841,54%,4.5,200,841,54%,336,Denim,5-7 days,Dresses,Moderate
https://www.example.com/product/1073,TRENDING,Luxora,₹305,₹808,62%,2.0,140,808,62%,261,Synthetic,5-7 days,Handbags,Slow
https://www.example.com/product/1378,BESTSELLER,NeoThreads,₹3563,₹6360,43%,3.3,3434,6360,43%,3486,Silk,5-7 days,Jeans,Fast
https://www.example.com/product/1424,Bestseller,Luxora,₹671,₹1902,64%,4.8,602,1902,64%,650,Polyester,5-7 days,Jeans,Fast
https://www.example.com/product/1002,NEW,TruStep,₹1400,₹1975,29%,4.2,1204,1975,29%,1375,Polyester,1-2 weeks,Jackets,Moderate
https://www.example.com/product/1109,NEW,VogueLift,₹1969,₹2574,23%,4.1,1860,2574,23%,1927,Cotton,5-7 days,Ethnicwear,Fast
https://www.example.com/product/1459,BESTSELLER,AeroStyle,₹2301,₹3786,39%,4.3,2196,3786,39%,2230,Synthetic,2-3 days,Jackets,Slow
https://www.example.com/product/1238,TRENDING,NeoThreads,₹2801,₹4527,38%,3.0,2719,4527,38%,2711,Silk,5-7 days,T-Shirts,Slow
https://www.example.com/product/1261,NEW,DenimCraft,₹1946,₹4363,55%,1.7,1828,4363,55%,1920,Silk,2-3 days,Ethnicwear,Moderate
https://www.example.com/product/1463,Limited Edition,Flexura,₹1619,₹1994,18%,1.3,1541,1994,18%,1526,Leather,4-5 days,T-Shirts,Slow
https://www.example.com/product/1044,NEW,Flexura,₹3699,₹6382,42%,2.4,3602,6382,42%,3662,Linen,1-2 weeks,Jackets,Moderate
